学校,城市,原志愿赛区,录取赛区,状态,积分榜排名,距南部(km),距东部(km),距北部(km)
上海交通大学,上海市,南部,南部,志愿,1,887,724,1188
东莞理工学院,东莞市,南部,南部,志愿,61,581,1550,2274
中南大学,长沙市,南部,南部,志愿,22,0,1017,1784
五邑大学,江门市,南部,南部,志愿,17,625,1612,2344
仲恺农业工程学院,广州市,南部,南部,志愿,100,564,1549,2281
华中科技大学,武汉市,东部,南部,调剂,33,294,724,1491
华南农业大学,广州市,南部,南部,志愿,5,564,1549,2281
华南师范大学（佛山校区）,佛山市,南部,南部,志愿,182,576,1563,2297
华南理工大学,广州市,南部,南部,志愿,2,564,1549,2281
南华大学,衡阳市,南部,南部,志愿,77,150,1166,1930
南昌大学,南昌市,东部,南部,调剂,21,304,896,1608
厦门大学,厦门市,南部,南部,志愿,193,656,1357,1988
厦门大学嘉庚学院,漳州市,南部,南部,志愿,56,627,1381,2030
厦门理工学院,厦门市,南部,南部,志愿,190,656,1357,1988
国防科技大学,长沙市,南部,南部,志愿,49,0,1017,1784
太原理工大学,太原市,南部,南部,志愿,13,1076,426,1026
广东工业大学,广州市,南部,南部,志愿,6,564,1549,2281
广州城市理工学院,广州市,南部,南部,志愿,52,564,1549,2281
广州航海学院,广州市,南部,南部,志愿,152,564,1549,2281
桂林信息科技学院,桂林市,南部,南部,志愿,34,420,1421,2198
桂林理工大学,桂林市,南部,南部,志愿,69,420,1421,2198
桂林电子科技大学,桂林市,南部,南部,志愿,28,420,1421,2198
武汉大学,武汉市,南部,南部,志愿,185,294,724,1491
武汉工程大学,武汉市,东部,南部,调剂,29,294,724,1491
武汉科技大学,武汉市,东部,南部,调剂,152,294,724,1491
深圳大学,深圳市,南部,南部,志愿,6,638,1596,2312
深圳技术大学,深圳市,南部,南部,志愿,79,638,1596,2312
湘潭大学,湘潭市,南部,南部,志愿,92,67,1083,1851
电子科技大学中山学院,中山市,南部,南部,志愿,20,633,1612,2339
西交利物浦大学,苏州市,南部,南部,志愿,96,815,676,1193
重庆理工大学,重庆市,北部,南部,调剂,128,536,1128,1909
长沙理工大学,长沙市,南部,南部,承办,105,0,1017,1784
上海大学,上海市,东部,东部,志愿,191,887,724,1188
上海工程技术大学,上海市,东部,东部,承办,31,887,724,1188
东南大学,南京市,东部,东部,志愿,14,703,535,1161
中北大学,太原市,东部,东部,志愿,57,1076,426,1026
中国石油大学（北京）,北京市,东部,东部,志愿,39,1339,367,628
中国石油大学（华东）,青岛市,东部,东部,志愿,11,1118,299,690
