school,city,dist_south,dist_east,dist_north
安徽信息工程学院,芜湖市,633,601,1244
北方工业大学,北京市,1339,367,628
北京理工大学,北京市,1339,367,628
北京理工大学（珠海）,珠海市,662,1635,2358
北京信息科技大学,北京市,1339,367,628
常州大学,常州市,784,599,1152
成都大学,成都市,905,1378,2125
成都信息工程大学,成都市,905,1378,2125
重庆理工大学,重庆市,536,1128,1909
大连理工大学,大连市,1434,468,356
电子科技大学中山学院,中山市,633,1612,2339
东北大学,沈阳市,1784,789,0
东北大学秦皇岛分校,秦皇岛市,1440,425,383
东莞理工学院,东莞市,581,1550,2274
东南大学,南京市,703,535,1161
福建理工大学,福州市,668,1194,1789
福建师范大学,福州市,668,1194,1789
复旦大学,上海市,887,724,1188
广东工业大学,广州市,564,1549,2281
广西大学,南宁市,759,1755,2536
广州城市理工学院,广州市,564,1549,2281
广州航海学院,广州市,564,1549,2281
桂林电子科技大学,桂林市,420,1421,2198
桂林理工大学,桂林市,420,1421,2198
桂林信息科技学院,桂林市,420,1421,2198
国防科技大学,长沙市,0,1017,1784
哈尔滨工程大学,哈尔滨市,2291,1286,509
哈尔滨工业大学,哈尔滨市,2291,1286,509
哈尔滨工业大学（深圳）,深圳市,638,1596,2312
哈尔滨工业大学（威海）,威海市,1341,454,490
杭州电子科技大学,杭州市,738,767,1317
合肥工业大学,合肥市,582,532,1232
合肥工业大学（宣城校区）,宣城市,637,653,1278
河北科技大学,石家庄市,1104,277,867
华北科技学院,廊坊市,1306,322,622
华北理工大学,唐山市,1358,344,504
华东理工大学,上海市,887,724,1188
华南理工大学,广州市,564,1549,2281
华南农业大学,广州市,564,1549,2281
华南师范大学,广州市,564,1549,2281
华南师范大学（佛山校区）,佛山市,576,1563,2297
华中科技大学,武汉市,294,724,1491
吉林大学,长春市,2062,1063,278
江南大学霞客湾校区,无锡市,800,636,1171
江苏大学,镇江市,762,539,1126
辽宁石油化工大学,抚顺市,1815,824,42
南昌大学,南昌市,304,896,1608
南方科技大学,深圳市,638,1596,2312
南华大学,衡阳市,150,1166,1930
南京航空航天大学金城学院,南京市,703,535,1161
南京理工大学,南京市,703,535,1161
南京理工大学江阴校区,无锡市,800,636,1171
内蒙古科技大学,包头市,1408,763,1134
齐鲁工业大学,济南市,1017,0,789
青岛大学,青岛市,1118,299,690
山东科技大学,青岛市,1118,299,690
山东理工大学,淄博市,1069,85,722
上海大学,上海市,887,724,1188
上海工程技术大学,上海市,887,724,1188
上海交通大学,上海市,887,724,1188
深圳大学,深圳市,638,1596,2312
深圳技术大学,深圳市,638,1596,2312
沈阳理工大学,沈阳市,1784,789,0
首都师范大学,北京市,1339,367,628
四川大学,成都市,905,1378,2125
太原工业学院,太原市,1076,426,1026
太原科技大学,太原市,1076,426,1026
太原理工大学,太原市,1076,426,1026
天津大学,天津市,1301,296,579
同济大学,上海市,887,724,1188
五邑大学,江门市,625,1612,2344
武汉大学,武汉市,294,724,1491
武汉工程大学,武汉市,294,724,1491
武汉科技大学,武汉市,294,724,1491
西安电子科技大学,西安市,776,792,1523
西安交通大学,西安市,776,792,1523
西北工业大学,西安市,776,792,1523
西交利物浦大学,苏州市,815,676,1193
西南交通大学,成都市,905,1378,2125
香港大学,香港,662,1615,2328
香港科技大学,香港,662,1615,2328
香港科技大学（广州）,广州市,564,1549,2281
湘潭大学,湘潭市,67,1083,1851
厦门大学,厦门市,656,1357,1988
厦门大学嘉庚学院,漳州市,627,1381,2030
厦门理工学院,厦门市,656,1357,1988
长安大学,西安市,776,792,1523
长沙理工大学,长沙市,0,1017,1784
浙江大学,杭州市,738,767,1317
中北大学,太原市,1076,426,1026
中国科学技术大学,合肥市,582,532,1232
中国矿业大学,徐州市,784,265,1000
中国石油大学（北京）,北京市,1339,367,628
中国石油大学（华东）,青岛市,1118,299,690
中南大学,长沙市,0,1017,1784
仲恺农业工程学院,广州市,564,1549,2281
