# RoboMaster 2026分区赛队伍数据
# full_form_ranking: 本年完整形态排名
# category_2025: national(全国赛) / revival(复活赛) / division(分区赛) / not_participated(未参加对抗赛)
# detail_2025: champion(冠军) / runner_up(亚军) / third_place(季军) / fourth_place(殿军) / quarter_finalist(八强) / top_16(十六强) / top_32(三十二强)
# 队伍类型: 甲级 / 非甲级
# rmul_2026_top4: champion(联盟赛4强冠军) / runner_up(联盟赛4强亚军) / third_place(联盟赛4强季军) / fourth_place(联盟赛4强殿军)

school,team,team_type,city,distance_to_changsha,distance_to_jinan,distance_to_shenyang,points_rank,points,participated_2025,category_2025,detail_2025,full_form_ranking,rmul_2026_top4
上海交通大学,交龙,甲级,上海市,887,724,1188,1,25.0,True,national,champion,46,fourth_place
华南理工大学,华南虎,甲级,广州市,564,1549,2281,2,23.3,True,national,third_place,12,
东北大学,TDT,甲级,沈阳市,1784,789,0,3,22.7,True,national,fourth_place,8,champion
浙江大学,Hello World,甲级,杭州市,738,767,1317,4,21.1,True,national,quarter_finalist,42,champion
华南农业大学,Taurus,甲级,广州市,564,1549,2281,5,20.1,True,national,top_16,3,third_place
广东工业大学,DynamicX,甲级,广州市,564,1549,2281,6,20.0,True,national,top_16,36,
深圳大学,RobotPilots,甲级,深圳市,638,1596,2312,6,20.0,True,national,top_16,25,
哈尔滨工业大学,I Hiter,甲级,哈尔滨市,2291,1286,509,9,19.3,True,national,top_16,23,
西安交通大学,笃行,甲级,西安市,776,792,1523,10,18.8,True,national,top_32,1,third_place
中国石油大学（华东）,RPS,甲级,青岛市,1118,299,690,11,18.72,True,national,quarter_finalist,10,champion
南方科技大学,ARTINX,甲级,深圳市,638,1596,2312,12,18.4,True,national,top_32,94,
太原理工大学,TRoMaC,甲级,太原市,1076,426,1026,13,18.04,True,national,top_16,30,
东南大学,3SE,甲级,南京市,703,535,1161,14,17.94,True,national,top_16,40,
哈尔滨工业大学（威海）,HERO,甲级,威海市,1341,454,490,15,17.2,True,national,top_32,28,third_place
大连理工大学,凌BUG,甲级,大连市,1434,468,356,16,17.18,True,national,quarter_finalist,41,
太原工业学院,火线,甲级,太原市,1076,426,1026,17,17.0,True,national,top_16,13,runner_up
五邑大学,IMCA,甲级,江门市,625,1612,2344,17,17.0,True,national,top_32,4,
中国科学技术大学,RoboWalker,甲级,合肥市,582,532,1232,19,16.86,True,national,runner_up,20,champion
电子科技大学中山学院,RoboBraver,甲级,中山市,633,1612,2339,20,16.64,True,national,top_32,37,
南昌大学,Passion,甲级,南昌市,304,896,1608,21,15.7,True,revival,revival,62,
中南大学,FYT,甲级,长沙市,0,1017,1784,22,15.5,True,national,top_32,21,fourth_place
吉林大学,TARS Go,甲级,长春市,2062,1063,278,23,14.9,True,national,top_32,56,
山东科技大学,SmartRobot,甲级,青岛市,1118,299,690,24,14.8,True,national,top_32,53,
哈尔滨工程大学,创梦之翼,甲级,哈尔滨市,2291,1286,509,25,14.78,True,national,top_32,52,
南京航空航天大学金城学院,Born of Fire,甲级,南京市,703,535,1161,26,14.6,True,national,top_32,77,runner_up
同济大学,SuperPower,甲级,上海市,887,724,1188,27,14.4,True,national,quarter_finalist,18,
桂林电子科技大学,Evolution,甲级,桂林市,420,1421,2198,28,14.365,True,division,division,32,
武汉工程大学,Nautilus,甲级,武汉市,294,724,1491,29,14.3,True,national,top_32,14,champion
中国矿业大学,CUBOT,甲级,徐州市,784,265,1000,30,13.6,True,national,top_32,85,
